R1,,0:00:00:00,0:00:05:22,0:00:05:21
R75,,0:02:14:12,0:02:17:03,0:00:02:20
R76,,0:02:17:03,0:02:20:00,0:00:02:26
R77,,0:02:20:00,0:02:21:13,0:00:01:13
R78,,0:02:21:13,0:02:23:16,0:00:02:02
R79,,0:02:23:16,0:02:26:05,0:00:02:18
R80,,0:02:26:05,0:02:28:19,0:00:02:14
R81,,0:02:28:19,0:02:30:23,0:00:02:04
R82,,0:02:30:23,0:02:34:04,0:00:03:10
R83,,0:02:34:04,0:02:36:10,0:00:02:06
R84,,0:02:36:10,0:02:38:02,0:00:01:21
R85,,0:02:38:02,0:02:39:19,0:00:01:17
R86,,0:02:39:19,0:02:41:28,0:00:02:08
R87,,0:02:41:28,0:02:43:18,0:00:01:19
R88,,0:02:43:18,0:02:45:22,0:00:02:04
R89,,0:02:45:22,0:02:46:23,0:00:01:00
R90,,0:02:46:23,0:02:48:05,0:00:01:11
R91,,0:02:48:05,0:02:50:08,0:00:02:03
R92,,0:02:50:08,0:02:53:18,0:00:03:10
R93,,0:02:53:18,0:02:55:01,0:00:01:13
R94,,0:02:55:01,0:02:56:26,0:00:01:24
R95,,0:02:56:26,0:02:58:05,0:00:01:09
R96,,0:02:58:05,0:02:59:24,0:00:01:18
R97,,0:02:59:24,0:03:01:15,0:00:01:21
R98,,0:03:01:15,0:03:03:19,0:00:02:03
R99,,0:03:03:19,0:03:06:23,0:00:03:04
R100,,0:03:06:23,0:03:08:28,0:00:02:05
R101,,0:03:08:28,0:03:10:23,0:00:01:24
R102,,0:03:10:23,0:03:12:12,0:00:01:18
R103,,0:03:12:12,0:03:14:29,0:00:02:16
R104,,0:03:14:29,0:03:19:05,0:00:04:06
R105,,0:03:19:05,0:03:22:02,0:00:02:27
R106,,0:03:22:02,0:03:23:06,0:00:01:04
R107,,0:03:23:06,0:03:26:01,0:00:02:24
R108,,0:03:26:01,0:03:27:09,0:00:01:07
R109,,0:03:27:09,0:03:29:22,0:00:02:12
R110,,0:03:29:22,0:03:32:12,0:00:02:20
R111,,0:03:32:12,0:03:34:17,0:00:02:05
R112,,0:03:34:17,0:03:35:25,0:00:01:07
R113,,0:03:35:25,0:03:40:02,0:00:04:06
R114,,0:03:40:02,0:03:43:03,0:00:03:01
R115,,0:03:43:03,0:03:45:01,0:00:01:27
R116,,0:03:45:01,0:03:46:25,0:00:01:23
R117,,0:03:46:25,0:03:48:13,0:00:01:18
R118,,0:03:48:13,0:03:50:25,0:00:02:11
R119,,0:03:50:25,0:03:53:07,0:00:02:12
R120,,0:03:53:07,0:03:54:05,0:00:00:27
R121,,0:03:54:05,0:03:55:07,0:00:01:02
R122,,0:03:55:07,0:03:57:21,0:00:02:14
R123,,0:03:57:21,0:04:01:07,0:00:03:15
R124,,0:04:01:07,0:04:03:19,0:00:02:11
R125,,0:04:03:19,0:04:05:00,0:00:01:10
R126,,0:04:05:00,0:04:08:14,0:00:03:14
R127,,0:04:08:14,0:04:09:29,0:00:01:14
R128,,0:04:09:29,0:04:12:17,0:00:02:17
R129,,0:04:12:17,0:04:15:16,0:00:02:29
R130,,0:04:15:16,0:04:16:27,0:00:01:11
R131,,0:04:16:27,0:04:19:12,0:00:02:15
R132,,0:04:19:12,0:04:21:22,0:00:02:09
R133,,0:04:21:22,0:04:23:18,0:00:01:25
R134,,0:04:23:18,0:04:25:07,0:00:01:19
R135,,0:04:25:07,0:04:26:25,0:00:01:18
R136,,0:04:26:25,0:04:28:04,0:00:01:08
R137,,0:04:28:04,0:04:29:12,0:00:01:08
R138,,0:04:29:12,0:04:30:19,0:00:01:06
R139,,0:04:30:19,0:04:32:21,0:00:02:01
R140,,0:04:32:21,0:04:34:11,0:00:01:20
R141,,0:04:34:11,0:04:37:09,0:00:02:27
R142,,0:04:37:09,0:04:38:28,0:00:01:18
R143,,0:04:38:28,0:04:40:08,0:00:01:10
R144,,0:04:40:08,0:04:40:23,0:00:00:15
R145,,0:04:40:23,0:04:41:15,0:00:00:22
R146,,0:04:41:15,0:04:42:20,0:00:01:04
R147,,0:04:42:20,0:04:45:01,0:00:02:10
R148,,0:04:45:01,0:04:47:13,0:00:02:12
R149,,0:04:47:13,0:04:49:24,0:00:02:10
R150,,0:04:49:24,0:04:51:06,0:00:01:11
R151,,0:04:51:06,0:04:52:28,0:00:01:22
R152,,0:04:52:28,0:04:54:26,0:00:01:28
R153,,0:04:54:26,0:04:57:00,0:00:02:03
R154,,0:04:57:00,0:04:59:06,0:00:02:05
R155,,0:04:59:06,0:05:00:21,0:00:01:15
R156,,0:05:00:21,0:05:03:07,0:00:02:15
R157,,0:05:03:07,0:05:04:01,0:00:00:23
R158,,0:05:04:01,0:05:05:15,0:00:01:14
R159,,0:05:05:15,0:05:07:16,0:00:02:00
R160,,0:05:07:16,0:05:09:01,0:00:01:14
R161,,0:05:09:01,0:05:12:07,0:00:03:06
R162,,0:05:12:07,0:05:14:21,0:00:02:14
R163,,0:05:14:21,0:05:16:09,0:00:01:17
R164,,0:05:16:09,0:05:17:09,0:00:01:00
R165,,0:05:17:09,0:05:18:21,0:00:01:12
R166,,0:05:18:21,0:05:20:13,0:00:01:21
R167,,0:05:20:13,0:05:21:29,0:00:01:15
R168,,0:05:21:29,0:05:24:26,0:00:02:27
R169,,0:05:24:26,0:05:26:22,0:00:01:25
R170,,0:05:26:22,0:05:28:18,0:00:01:25
R171,,0:05:28:18,0:05:30:22,0:00:02:03
R172,,0:05:30:22,0:05:32:06,0:00:01:14
R173,,0:05:32:06,0:05:34:19,0:00:02:12
R174,,0:05:34:19,0:05:36:27,0:00:02:08
R175,,0:05:36:27,0:05:38:10,0:00:01:12
R176,,0:05:38:10,0:05:39:21,0:00:01:11
R177,,0:05:39:21,0:05:40:27,0:00:01:06
R178,,0:05:40:27,0:05:43:07,0:00:02:09
R179,,0:05:43:07,0:05:45:00,0:00:01:23
R180,,0:05:45:00,0:05:46:22,0:00:01:22
R181,,0:05:46:22,0:05:48:19,0:00:01:26
R182,,0:05:48:19,0:05:50:29,0:00:02:10
R183,,0:05:50:29,0:05:53:29,0:00:02:29
R184,,0:05:53:29,0:05:57:29,0:00:03:29
R185,,0:05:57:29,0:06:00:14,0:00:02:14
R186,,0:06:00:14,0:06:01:14,0:00:01:00
R187,,0:06:01:14,0:06:02:07,0:00:00:23
R188,,0:06:02:07,0:06:04:06,0:00:01:28
R189,,0:06:04:06,0:06:06:07,0:00:02:00
R190,,0:06:06:07,0:06:07:04,0:00:00:27
R191,,0:06:07:04,0:06:09:12,0:00:02:07
R192,,0:06:09:12,0:06:13:16,0:00:04:04
R193,,0:06:13:16,0:06:16:19,0:00:03:02
R194,,0:06:16:19,0:06:18:29,0:00:02:09
R195,,0:06:18:29,0:06:21:27,0:00:02:28
R196,,0:06:21:27,0:06:23:27,0:00:01:29
R197,,0:06:23:27,0:06:25:15,0:00:01:18
R198,,0:06:25:15,0:06:25:28,0:00:00:13
R199,,0:06:25:28,0:06:28:00,0:00:02:01
R200,,0:06:28:00,0:06:31:14,0:00:03:14
R201,,0:06:31:14,0:06:34:24,0:00:03:10
R202,,0:06:34:24,0:06:37:00,0:00:02:05
R203,,0:06:37:00,0:06:38:25,0:00:01:24
R204,,0:06:38:25,0:06:39:15,0:00:00:20
R205,,0:06:39:15,0:06:40:04,0:00:00:19
R206,,0:06:40:04,0:06:41:11,0:00:01:07
R207,,0:06:41:11,0:06:42:17,0:00:01:05
R208,,0:06:42:17,0:06:44:05,0:00:01:18
R209,,0:06:44:05,0:06:46:04,0:00:01:28
R210,,0:06:46:04,0:06:48:09,0:00:02:05
R211,,0:06:48:09,0:06:51:21,0:00:03:11
R212,,0:06:51:21,0:06:53:15,0:00:01:24
R213,,0:06:53:15,0:06:54:18,0:00:01:02
R214,,0:06:54:18,0:06:57:19,0:00:03:00
R215,,0:06:57:19,0:06:59:28,0:00:02:09
R216,,0:06:59:28,0:07:00:29,0:00:01:01
R217,,0:07:00:29,0:07:02:24,0:00:01:24
R218,,0:07:02:24,0:07:04:20,0:00:01:25
R219,,0:07:04:20,0:07:06:18,0:00:01:27
R220,,0:07:06:18,0:07:08:00,0:00:01:12
R221,,0:07:08:00,0:07:09:06,0:00:01:05
R222,,0:07:09:06,0:07:10:14,0:00:01:07
R223,,0:07:10:14,0:07:13:10,0:00:02:26
R224,,0:07:13:10,0:07:16:07,0:00:02:26
R225,,0:07:16:07,0:07:17:19,0:00:01:11
R226,,0:07:17:19,0:07:22:12,0:00:04:23
R227,,0:07:22:12,0:07:24:11,0:00:01:28
R228,,0:07:24:11,0:07:26:13,0:00:02:02
R229,,0:07:26:13,0:07:28:21,0:00:02:07
R230,,0:07:28:21,0:07:29:19,0:00:00:28
R231,,0:07:29:19,0:07:32:04,0:00:02:14
R232,,0:07:32:04,0:07:36:06,0:00:04:02
R233,,0:07:36:06,0:07:37:09,0:00:01:02
R234,,0:07:37:09,0:07:39:10,0:00:02:01
R235,,0:07:39:10,0:07:41:18,0:00:02:07
R236,,0:07:41:18,0:07:42:25,0:00:01:07
R237,,0:07:42:25,0:07:45:04,0:00:02:09
R238,,0:07:45:04,0:07:47:05,0:00:02:00
R239,,0:07:47:05,0:07:50:20,0:00:03:15
R240,,0:07:50:20,0:07:52:26,0:00:02:06
R241,,0:07:52:26,0:07:56:06,0:00:03:09
R242,,0:07:56:06,0:07:57:11,0:00:01:05
R243,,0:07:57:11,0:08:00:10,0:00:02:29
R244,,0:08:00:10,0:08:03:10,0:00:02:29
R245,,0:08:03:10,0:08:04:29,0:00:01:19
R246,,0:08:04:29,0:08:06:15,0:00:01:16
R247,,0:08:06:15,0:08:08:04,0:00:01:19
R248,,0:08:08:04,0:08:09:12,0:00:01:07
R249,,0:08:09:12,0:08:11:15,0:00:02:02
R250,,0:08:11:15,0:08:14:09,0:00:02:24
R251,,0:08:14:09,0:08:15:05,0:00:00:25
R252,,0:08:15:05,0:08:17:27,0:00:02:22
R253,,0:08:17:27,0:08:21:21,0:00:03:24
R254,,0:08:21:21,0:08:23:28,0:00:02:06
R255,,0:08:23:28,0:08:26:11,0:00:02:12
R256,,0:08:26:11,0:08:28:16,0:00:02:05
R257,,0:08:28:16,0:08:30:00,0:00:01:14
R258,,0:08:30:00,0:08:38:21,0:00:08:21
